date,k18,k21,k22,traditional,Log_Returns
2012-12-10,5072.77209797797,5809.049247788831,6074.816387278956,4199.030545671354,0.00462772110932848
2012-12-11,5090.333717666025,5827.767978978214,6094.088940918426,4217.67154533719,0.004429533074471077
2012-12-12,5107.237208845952,5845.79550837086,6112.643673724271,4235.525956546623,0.00422430394086092
2012-12-13,5123.445493565976,5863.092099785657,6130.439679232353,4252.553239945827,0.004012051689218292
2012-12-14,5138.921493874314,5879.618017041499,6147.436050978526,4268.712856180979,0.003792778074153689
2012-12-15,5153.628131819192,5895.333523957271,6163.591882498644,4283.964265898251,0.003566468291899956
2012-12-16,5167.528329448833,5910.198884351868,6178.866267328569,4298.2669297438215,0.0033330906056478478
2012-12-17,5180.585008811455,5924.174362044177,6193.218299004154,4311.580308363861,0.003092595922501471
2012-12-18,5192.761091955285,5937.220220853093,6206.6070710612585,4323.86386240455,0.0028449173157924835
2012-12-19,5204.019500928543,5949.296724597502,6218.991677035739,4335.077052512058,0.0025899694860626126
2012-12-20,5214.32315777945,5960.364137096298,6230.33121046345,4345.179339332562,0.00232764815360353
2012-12-21,5223.634984556231,5970.382722168368,6240.584764880251,4354.130183512239,0.0020578293748073403
2012-12-22,5231.917903307108,5979.312743632606,6249.711433821999,4361.889045697262,0.0017803687739625222
2012-12-23,5239.1348360803,5987.114465307897,6257.6703108245465,4368.415386533805,0.0014951006812905186
2012-12-24,5245.248704924033,5993.748151013137,6264.4204894237555,4373.668666668043,0.001201837167108829
2012-12-25,5250.222431886527,5999.174064567215,6269.921063155482,4377.608346746154,0.0009003669608942268
2012-12-26,5254.0189390160085,6003.352469789021,6274.131125555582,4380.193887414311,0.0005904542427755594
2012-12-27,5256.601148360694,6006.243630497445,6277.009770159911,4381.384749318687,0.0002718372935025052
2012-12-28,5257.931981968808,6007.807810511376,6278.516090504327,4381.140393105458,-5.577301276060183e-05
2012-12-29,5257.974361888574,6008.005273649708,6278.6091801246885,4379.420279420801,-0.00039269489044378074
2012-12-30,5256.691210168213,6006.796283731329,6277.248132556849,4376.183868910889,-0.000739277519285495
2012-12-31,5254.045448855949,6004.14110457513,6274.392041336668,4371.3906222218975,-0.0010959031383101674
2013-01-01,5250.0,6000.0,6270.0,4365.0,-0.0014629893827052475
2013-01-02,5244.5307921225585,5994.346949679559,6264.04525184194,4356.986568959109,-0.0018375247960568182
2013-01-03,5237.665779641685,5987.210796706328,6256.557639194523,4347.385320084076,-0.002206075956162158
2013-01-04,5229.445923449404,5978.634100027563,6247.581154149021,4336.24635042749,-0.0025655108804288843
2013-01-05,5219.912184437741,5968.659418590514,6237.159788796706,4323.619757041939,-0.0029161195280940485
2013-01-06,5209.105523498725,5957.3293113424315,6225.337535228849,4309.55563698001,-0.0032581597990610396
2013-01-07,5197.06690152438,5944.686337230569,6212.158385536724,4294.104087294292,-0.003591858997957171
2013-01-08,5183.837279406732,5930.773055202173,6197.666331811599,4277.315205037373,-0.003917415110543841
2013-01-09,5169.457618037806,5915.6320242045,6181.905366144748,4259.239087261842,-0.004234997909731847
2013-01-10,5153.968878309633,5899.305803184801,6164.919480627444,4239.925831020286,-0.004544749906556824
2013-01-11,5137.412021114236,5881.8369510903285,6146.752667350957,4219.425533365294,-0.004846787159808917
2013-01-12,5119.82800734364,5863.26802686833,6127.448918406558,4197.788291349453,-0.005141199956642667
2013-01-13,5101.257797889873,5843.6415894660595,6107.05222588552,4175.064202025351,-0.005428053375315544
2013-01-14,5081.7423536449605,5823.000197830767,6085.606581879115,4151.3033624455775,-0.005707387740236392
2013-01-15,5061.322635500931,5801.386410909709,6063.155978478615,4126.555869662721,-0.005979218978721445
2013-01-16,5040.039604349808,5778.842787650131,6039.744407775291,4100.871820729369,-0.006243538888211613
2013-01-17,5017.93422108362,5755.411886999289,6015.415861860416,4074.301312698109,-0.006500315322242182
2013-01-18,4995.047446594391,5731.136267904432,5990.21433282526,4046.8944426215303,-0.006749492303114095
2013-01-19,4971.420241774148,5706.058489312812,5964.183812761095,4018.7013075522195,-0.006990990069001186
2013-01-20,4947.093567514917,5680.221110171681,5937.368293759193,3989.772004542765,-0.007224705063162157
2013-01-21,4922.108384708725,5653.666689428289,5909.811767910826,3960.1566306457557,-0.007450509872961755
2013-01-22,4896.505654247599,5626.437786029891,5881.558227307269,3929.905282913781,-0.007668253126570229
2013-01-23,4870.326337023562,5598.576958923735,5852.651664039787,3899.0680583994263,-0.00787775935548938
2013-01-24,4843.611393928644,5570.126767057074,5823.136070199657,3867.695054155282,-0.008078828831445397
2013-01-25,4816.40178585487,5541.12976937716,5793.055437878151,3835.836367233935,-0.008271237386710144
2013-01-26,4788.738473694263,5511.628524831243,5762.453759166535,3803.5420946879735,-0.008454736227514182
2013-01-27,4760.662418338855,5481.6655923665785,5731.375026156088,3770.862333569987,-0.008629051750969943
2013-01-28,4732.214580680669,5451.283530930415,5699.863230938079,3737.8471809325633,-0.008793885376758062
2013-01-29,4703.435921611731,5420.524899470001,5667.962365603777,3704.5467338282883,-0.008948913405774481
2013-01-30,4674.367402024067,5389.432256932593,5635.716422244457,3671.011089309752,-0.009093786919004506
2013-01-31,4645.049982809705,5358.0481622654415,5603.16939295139,3637.2903444295434,-0.009228131731027558
2013-02-01,4615.524624860671,5326.415174415797,5570.3652698158485,3603.4345962402485,-0.009351548413792193
2013-02-02,4585.832289068989,5294.575852330912,5537.348044929104,3569.4939417944565,-0.009463612407608688
2013-02-03,4556.013936326688,5262.572754958038,5504.1617103824265,3535.518478144757,-0.009563874237683019
2013-02-04,4526.110527525791,5230.448441244425,5470.850258267089,3501.5583023437352,-0.009651859855901126
2013-02-05,4496.163023558328,5198.245470137326,5437.4576806743635,3467.6635114439814,-0.009727071128990825
