IndicatorType,CountryName,MarketName,CurrencyCode,Date,Value,SourceOfTheData
Official,Bangladesh,,BDT,22/09/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,23/09/2009,68.5,Trading Economics
Official,Bangladesh,,BDT,24/09/2009,68.45,Trading Economics
Official,Bangladesh,,BDT,25/09/2009,68.45,Trading Economics
Official,Bangladesh,,BDT,28/09/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,29/09/2009,68.5,Trading Economics
Official,Bangladesh,,BDT,30/09/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,01/10/2009,68.7,Trading Economics
Official,Bangladesh,,BDT,02/10/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,05/10/2009,69.05,Trading Economics
Official,Bangladesh,,BDT,06/10/2009,68.5,Trading Economics
Official,Bangladesh,,BDT,07/10/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,08/10/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,09/10/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,12/10/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,13/10/2009,69.05,Trading Economics
Official,Bangladesh,,BDT,14/10/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,15/10/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,16/10/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,19/10/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,20/10/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,21/10/2009,69.1,Trading Economics
Official,Bangladesh,,BDT,22/10/2009,68.5,Trading Economics
Official,Bangladesh,,BDT,23/10/2009,68.5,Trading Economics
Official,Bangladesh,,BDT,26/10/2009,68.6,Trading Economics
Official,Bangladesh,,BDT,27/10/2009,68.6,Trading Economics
Official,Bangladesh,,BDT,28/10/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,29/10/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,30/10/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,02/11/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,03/11/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,04/11/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,05/11/2009,68.7,Trading Economics
